Income Statistics - Fredericton (2021),,,,,,
Household income statistics (6),Number of households (2021) 3 4 5,Number of households (2016),Median household total income (2020) (2020 constant dollars),Median household total income (2015) (2020 constant dollars),Median household after-tax income (2020) (2020 constant dollars),Median household after-tax income (2015) (2020 constant dollars)
Total – Household type including census family structure 6,"28,480","26,095","73,000","65,500","64,000","57,200"
Census-family households,"16,715","15,895","97,000","89,000","84,000","77,000"
Households consisting of only one census family without additional persons,"15,635","14,950","96,000","88,000","83,000","76,000"
"One couple, with or without children in their census family","13,265","12,650","103,000","97,000","88,000","83,000"
Without children,"7,565","7,035","90,000","86,000","78,000","75,000"
With children,"5,700","5,620","126,000","115,000","106,000","96,000"
One one-parent census family,"2,370","2,295","60,400","48,000","56,000","44,800"
With a parent that is a man+ 7 8,425,385,"71,500","63,200","62,000","54,400"
With a parent that is a woman+ 9 10,"1,945","1,910","58,400","44,800","54,800","42,800"
Other census family households 11,"1,085",950,"120,000","104,000","108,000","93,000"
Non-census family households,"11,765","10,195","46,400","41,200","41,200","36,400"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Abbreviation notes:,,,,,,
,,,,,,
List of abbreviations and acronyms found within various Census products.,,,,,,
(https://www12.statcan.gc.ca/census-recensement/2021/ref/symb-ab-acr-eng.cfm),,,,,,
,,,,,,
,,,,,,
,,,,,,
iBall:,,,,,,
i781,Geography name: Fredericton; Geographic area type: City; Geographic area type abbreviation: C; Geographic level: Census subdivision; Province or territory abbreviation: N.B.; Dissemination Geography Unique Identifier (DGUID): 2021A00051310032; Alternative geographic code: 1310032; Province or territory geocode: 13; Short-form total non-response rate: 3.3; Data quality flag: 00000; Data quality note: ...,,,,,
,,,,,,
,,,,,,
,,,,,,
Footnotes:,,,,,,
1,"The boundaries and names of census geographies can change from one census to the next. In order to facilitate data comparisons between censuses, previous census data have been adjusted to reflect as closely as possible the 2021 boundaries of these areas. The methodology used for this adjustment involved spatially linking blocks of previous censuses (concordance to the 1996 Census used the 1996 enumeration areas to the 2021 boundaries). A previous census block was linked to the 2021 area within which its representative point fell. A limited number of interactive linkages were completed to further enhance the adjustment in certain areas. For some census geographies, it was not possible to reflect the 2021 boundaries. The 2021 boundaries may not be reflected as there was no previous census block to assign to the 2021 area. As well previous census data for some 2021 areas may not be available due to the fact that the concordance did not produce an accurate representation of the 2021 area.",,,,,
2,Household size    'Household size' refers to the number of persons in a private household.,,,,,
