Income Statistics - Miramichi (2021),,,,,,
Household income statistics (6),Number of households (2021) 3 4 5,Number of households (2016),Median household total income (2020) (2020 constant dollars),Median household total income (2015) (2020 constant dollars),Median household after-tax income (2020) (2020 constant dollars),Median household after-tax income (2015) (2020 constant dollars)
Total – Household type including census family structure 6,"7,990","7,705","66,000","62,000","58,800","55,200"
Census-family households,"5,020","5,165","89,000","81,000","78,000","71,500"
Households consisting of only one census family without additional persons,"4,655","4,785","87,000","79,500","76,000","70,000"
"One couple, with or without children in their census family","3,840","3,985","94,000","87,000","82,000","76,000"
Without children,"2,310","2,310","77,500","73,500","68,500","65,000"
With children,"1,530","1,680","124,000","114,000","106,000","96,000"
One one-parent census family,810,795,"58,000","46,400","54,000","43,600"
With a parent that is a man+ 7 8,155,120,"67,000","56,000","59,200","50,800"
With a parent that is a woman+ 9 10,655,680,"56,800","42,400","53,200","41,600"
Other census family households 11,365,380,"115,000","94,000","105,000","86,000"
Non-census family households,"2,970","2,540","36,800","32,400","33,600","30,200"
