"Income Statistics - Moncton, P (2021)",,,,,,
Household income statistics (6),Number of households (2021) 3 4 5,Number of households (2016),Median household total income (2020) (2020 constant dollars),Median household total income (2015) (2020 constant dollars),Median household after-tax income (2020) (2020 constant dollars),Median household after-tax income (2015) (2020 constant dollars)
Total – Household type including census family structure 6,"4,190","3,875","91,000","80,000","78,500","69,500"
Census-family households,"3,290","3,065","105,000","93,000","90,000","79,000"
Households consisting of only one census family without additional persons,"3,005","2,825","102,000","90,000","87,000","77,500"
"One couple, with or without children in their census family","2,745","2,585","107,000","95,000","91,000","81,000"
Without children,"1,455","1,395","87,000","80,000","74,500","69,500"
With children,"1,285","1,185","134,000","115,000","111,000","98,000"
One one-parent census family,260,245,"62,400","51,200","55,600","47,200"
With a parent that is a man+ 7 8,75,75,"75,500","58,000","62,000","51,200"
With a parent that is a woman+ 9 10,190,170,"58,000","48,400","54,000","45,600"
Other census family households 11,285,240,"135,000","116,000","120,000","106,000"
Non-census family households,900,810,"43,600","38,800","38,000","34,000"
